id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
279,Ajayi,Hull City,HUL,DEF,4.0,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
280,Coyle,Hull City,HUL,DEF,4.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
281,Drameh,Hull City,HUL,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Hamstring injury - Expected back 29 Aug,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
282,Giles,Hull City,HUL,DEF,4.0,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
283,Jacob,Hull City,HUL,DEF,4.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,d,Hip injury - 75% chance of playing,75.0,0.75,MUN,True,,1.0,0.0,0.0,0.0
284,McCarthy,Hull City,HUL,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
285,McNair,Hull City,HUL,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
286,Belloumi,Hull City,HUL,MID,5.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
287,Millar,Hull City,HUL,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
288,Dowell,Hull City,HUL,MID,4.5,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
289,Crooks,Hull City,HUL,MID,4.5,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
290,Slater,Hull City,HUL,MID,4.5,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
291,Matazo,Hull City,HUL,MID,4.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Knee injury - Unknown return date,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
475,Savona,Nott'm Forest,NFO,DEF,4.5,0.0,39,1025,2,0,0.0,2.8,43.5,216.6,123.2,94.0,i,Knee injury - Unknown return date,0.0,0.0,LEE,True,,1.0,9.540000000000001,0.0,0.0
476,O.Richards,Nott'm Forest,NFO,DEF,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LEE,True,,1.0,0.0,0.0,0.0
479,Bindon,Nott'm Forest,NFO,DEF,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LEE,True,,1.0,0.0,0.0,0.0
558,Schlager,Nott'm Forest,NFO,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LEE,True,,1.0,0.0,0.0,0.0
495,Austin,Spurs,TOT,GKP,4.0,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,BRE,False,,1.0,0.0,0.0,0.0
39,Nedeljkovic,Aston Villa,AVL,DEF,4.0,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,BHA,False,,1.0,0.0,0.0,0.0
48,Onana,Aston Villa,AVL,MID,5.0,0.0,76,1755,2,0,0.0,3.0,74.4,413.2,152.6,178.0,i,Knee injury - Unknown return date,0.0,0.0,BHA,False,,1.0,15.780000000000003,0.0,0.0
110,Rushworth,Coventry City,COV,GKP,4.5,0.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
171,Dovin,Coventry City,COV,GKP,4.0,2.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
172,Wilson,Coventry City,COV,GKP,4.5,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
173,Thomas,Coventry City,COV,DEF,4.0,8.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
174,Kitching,Coventry City,COV,DEF,4.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
175,van Ewijk,Coventry City,COV,DEF,4.0,15.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
569,García,Fulham,FUL,FWD,6.0,1.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,CHE,True,,1.0,0.0,0.0,0.0
570,Palacios,Fulham,FUL,MID,5.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,CHE,True,,1.0,0.0,0.0,0.0
